"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Lost-Wood Divide","601	","Idaho","SNOTEL","Blaine","7900","43.82432","-114.26402","170402190304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","33",,,"138","165","100","48","49","13","85","3","11",,,,"24","20","12","46","2008","2012","14"
"Louis Meadow","972	","Utah","SNOTEL","Salt Lake","6700","40.83033","-111.76457","160202040304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"42","44","50","14","14","-10","15","18","2","2nd Lowest",,,"19","18","7","39","2002","2001","21"
"Louse Canyon","1296	","Oregon","SNOLITE","	","6520","42.07059","-117.5483","160402010304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-2","0","2","1","Lowest",,,"2","2","0","4","2021","2020","2"
"Loveland Basin","602	","Colorado","SNOTEL","Clear Creek","11400","39.67433","-105.90133","101900040102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"73","76","92","28","29","-7","19","14","3",,,,"30","29","19","45","2012","2005","17"
"Lovell Summit","2146	","Nevada","SCAN","Clark","6582","36.16555","-115.61195","160600150401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"250","500","100","36","38","4","85","3","11",,,,"2","1","0","9","2008, 2017, 2020","2009","14"
"Lower Kachemak Creek","1265	","Alaska","SNOTEL","Kenai Peninsula","1915","59.73507","-150.69327","190203011101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"15","12","2","43","2019","2020","6"
"Lower Twin","603	","Montana","SNOTEL","Madison","7900","45.50871","-111.92288","100200071101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"52","50","52","17","17","-12","0","20","1","Lowest",,,"23","24","12","39","2021","2013","20"
"Lu Lake","4B15P	","British Columbia","Cooperator Snow Sensors","	","4291","54.18333","-126.3","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"15","14","2","39","2009","2006","21"
"Lubrecht Flume","604	","Montana","SNOTEL","Missoula","4680","46.88293","-113.32228","170102031204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"100","100","100","24","24","0","63","8","9",,,,"6","6","0","13","2004","2010","20"
"Lucky Strike","605	","Oregon","SNOTEL","Umatilla","4970","45.27478","-118.8479","170701030606	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"29","33","100","5","8","-4","0","18","1","Lowest",,,"7","6","2","12","2021","2008, 2016","18"
"Lye Brook","2042	","Vermont","SCAN","Bennington","2435","43.05","-73.03333","020200030202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"40","50","20","7","6","-2","25","13","4",,,,"5","4","0","16","2015, 2020","2002","17"
"Lyman Lake","606	","Washington","SNOTEL","Chelan","5980","48.19798","-120.91678","170200090203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"64","56","37","96","2019","2006","16"
"Lynn Lake","1069	","Washington","SNOTEL","King","3900","47.20172","-121.77972","171100130203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"108","117","100","17","16","2","71","5","9",,,,"13","12","0","42","2014","2016","15"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8880","40.07806","-106.67028","140100011001	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"17","17","9","24","2017","2010","14"
"MF Nooksack","1011	","Washington","SNOTEL","Whatcom","4970","48.82453","-121.92951","171100040303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"100","97","95","26","25","-1","47","11","10",,,,"36","37","3","73","2014","2003","20"
"Madison Butte","608	","Oregon","SNOTEL","Morrow","5150","45.10513","-119.49585","170702041101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"100","100","100","24","25","0","68","7","10",,,,"5","5","0","18","2002, 2017","2001","20"
"Madison Plateau","609	","Montana","SNOTEL","Gallatin","7750","44.58623","-111.11627","100200070204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","27",,,"90","90","100","33","32","-3","37","13","7",,,,"30","30","18","44","2002","2012","20"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6880","42.18072","-114.28662","170402120601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"30","32","86","10","10","-13","0","23","1","Lowest",,,"20","19","6","43","2021","2001","23"
"Mahantango Ck","2028	","Pennsylvania","SCAN","Northumberland","730","40.66667","-76.66667","020503010801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"1,100",,"100","92","92","11","100","1","14","Highest",,,"1","0","0","11","2018, 2019, 2020, more","2021","14"
"Mammoth-Cottonwood","612	","Utah","SNOTEL","Sanpete","8709","39.68338","-111.31818","160300040203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"63","67","80","21","22","-6","20","21","6",,,,"19","18","0","38","2017","1996","26"
"Mancos","905	","Colorado","SNOTEL","Montezuma","10000","37.43087","-108.16954","140801070102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"87","81","81","20","22","-3","44","11","8",,,,"15","16","0","37","2017","2007","19"
"Many Glacier","613	","Montana","SNOTEL","Glacier","4900","48.79698","-113.6705","090400010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"83","91","91","20","20","-1","47","11","7",,,,"12","11","3","19","2002","2009","20"
"Marion Forks","614	","Oregon","SNOTEL","Linn","2590","44.59397","-121.97365","170900050205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"4","2","0","17","2017, 2018, 2019, more","2005","16"
"Marlette Lake","615	","Nevada","SNOTEL","Carson City","7884","39.16395","-119.89672","160501010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","35",,,"167","159","100","46","51","13","100","1","26","Highest",,,"21","22","3","35","2008","2021","26"
"Marquette","616	","Wyoming","SNOTEL","Park","8760","44.3016","-109.24019","100800130303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"10","10","1","18","2006","2013, 2016","18"
"Marten Ridge","999	","Washington","SNOTEL","Whatcom","3520","48.76292","-121.69823","171100051004	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","51",,,"128","121","93","36","34","9","80","4","13",,,,"40","42","0","69","2014","2006","16"
"Mascoma River","2043	","New Hampshire","SCAN","Grafton","1400","43.78333","-72.03333","010801060101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"33","50","20","4","4","-1","28","14","4",,,,"3","2","0","13","2001, 2012, 2015","2002","19"
"Maverick Fork","617	","Arizona","SNOTEL","Apache","9200","33.92121","-109.45881","150601010104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"38","50","100","5","9","-3","32","14","5",,,,"8","6","0","25","2005, 2017","2011","20"
"May Creek","1096	","Alaska","SNOTEL","Valdez-Cordova","1610","61.34783","-142.70967","190201031603	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"91","83","100","38","40","-2","36","10","6",,,,"11","12","5","19","2019","2012","15"
"Mc Clure Pass","618	","Colorado","SNOTEL","Pitkin","9500","39.12897","-107.28806","140200040203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"60","67","71","15","21","-6","17","16","4",,,,"20","18","0","58","2017","2005","19"
"McBride Upper","1A02P	","British Columbia","Cooperator Snow Sensors","	","5276","53.3","-120.31667","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"26","31","0","42","2006, 2007","2011","13"
"McGrath","785	","Alaska","SNOTEL","Yukon-Koyukuk","340","62.94652","-155.6102","190304050502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"22","22","18","25","2020","2019","2"
"Mccoy Park","1040	","Colorado","SNOTEL","Eagle","9480","39.60468","-106.54128","140100030302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"67","63","71","15","22","-7","11","17","3",,,,"18","19","5","29","2012","2005","19"
"Mckenzie","619	","Oregon","SNOTEL","Lane","4770","44.2103","-121.87292","170900040207	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"30","27","6","59","2014","2016","18"
"Mcknight Cabin","1048	","New Mexico","SNOTEL","Grant","9240","33.00812","-107.86975","130302020103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"20","33","50","6","7","-2","33","13","5",,,,"5","3","0","21","2010, 2012, 2017, more","2011","19"
"Mcneil Canyon","1003	","Alaska","SNOTEL","Kenai Peninsula","1320","59.74433","-151.25133","190203010806	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"175","191","88","52","52","10","89","3","17",,,,"12","11","0","39","2019","2004","19"
"Mcneil River SGS","1191	","Alaska","SNOTEL","Kenai Peninsula","140","59.08332","-154.27543","190206021207	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"10","10","0","34","2014, 2019","2020","9"
"Meadow Lake","620	","Idaho","SNOTEL","Lemhi","9150","44.43655","-113.31815","170602040101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","20",,,"105","95","100","32","31","-1","40","4","3",,,,"19","21","13","22","2020","2016, 2017, 2019","6"
"Meadows Pass","897	","Washington","SNOTEL","King","3230","47.28312","-121.47197","171100120101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","25",,,"109","109","86","29","28","2","72","6","13",,,,"23","23","1","45","2014","2003, 2006, 2016","19"
"Med Bow","1196	","Wyoming","SNOTEL","Carbon","10500","41.37833","-106.34681","101800040302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","41",,,"95","98","89","35","36","-1","44","6","5",,,,"43","42","30","64","2014","2019","10"
"Medano Pass","914	","Colorado","SNOTEL","Saguache","9649","37.85164","-105.43614","130100030604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"22","22","40","4","6","-7","11","17","3",,,,"9","9","0","20","2017","2007","19"
"Merchant Valley","621	","Utah","SNOTEL","Beaver","8705","38.30285","-112.43637","160300070201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"94","100","79","28","28","0","50","10","9",,,,"16","15","0","29","2017","2007, 2009","19"
"Merritt Mountain","1207	","Nevada","SNOTEL","Elko","6915","41.8927","-115.858","170501020601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"29","50","67","8","8","-2","22","8","1","Lowest",,,"7","4","2","15","2013, 2020, 2021","2019","10"
"Mesa Lakes","622	","Colorado","SNOTEL","Mesa","10000","39.05831","-108.05835","140100051307	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","20",,,"62","91","83","33","34","-2","47","9","8",,,,"32","22","1","200","2017","2005","16"
"Mica Creek","623	","Idaho","SNOTEL","Shoshone","4510","47.15045","-116.26643","170103040604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"137","144","100","36","35","8","84","4","17",,,,"19","18","5","33","2014","2016","20"
"Michigan Creek","937	","Colorado","SNOTEL","Park","10600","39.43577","-105.91078","101900010404	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"62","67","71","21","20","-5","19","18","3",,,,"16","15","6","28","2012","2019","22"
"Midas","1206	","Nevada","SNOTEL","Elko","6630","41.26873","-116.80332","160401060402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"150","150","100","33","38","2","67","4","6",,,,"4","4","0","12","2014, 2017","2019","10"
"Middle Creek","624	","Colorado","SNOTEL","Mineral","11250","37.61978","-107.03482","130100010501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"54","56","88","15","22","-11","17","16","3",,,,"26","25","2","48","2017","2007, 2009","19"
"Middle Fork Bradley","1064	","Alaska","SNOTEL","Kenai Peninsula","2300","59.77683","-150.75733","190203011102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"162","179","89","52","52","15","88","3","15",,,,"21","19","4","44","2014","2004, 2007","17"
"Middle Fork Camp","1014	","Colorado","SNOTEL","Grand","8940","39.7956","-106.0273","140100010402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"33","44","80","14","17","-10","5","19","2","2nd Lowest",,,"24","18","6","187","2017","2005","20"
"Middle Powder","625	","Wyoming","SNOTEL","Washakie","7760","43.62728","-107.18138","100800080205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"57","53","80","16","17","-7","12","16","3",,,,"14","15","4","26","2020","2005","18"
"Midway Valley","626	","Utah","SNOTEL","Iron","9827","37.56933","-112.83849","160300010101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"62","75","83","16","17","-5","17","20","5",,,,"24","20","0","60","2017","2004","24"
"Milk Shakes","1079	","Oregon","SNOTEL","Wallowa","5580","45.9821","-117.94883","170701020201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"116","109","100","31","30","3","71","5","10",,,,"31","33","18","44","2014","2016","15"
"Mill Creek Summit","627	","Idaho","SNOTEL","Custer","8800","44.47212","-114.48992","170602010501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","31",,,"111","119","100","42","42","5","67","4","7",,,,"28","26","15","39","2011","2015","10"
"Mill-D North","628	","Utah","SNOTEL","Salt Lake","8963","40.65883","-111.63683","160202040201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"45","50","62","13","13","-10","6","17","2","2nd Lowest",,,"22","20","6","48","2017","2004","18"
"Miller Woods","1084	","Oregon","SNOTEL","Yamhill","420","45.24755","-123.27563","170900080606	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","15"
"Mineral Creek","629	","Colorado","SNOTEL","San Juan","10040","37.84747","-107.72657","140801040103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"80","76","73","20","29","-5","19","14","4",,,,"20","21","5","33","2017","2007","17"
"Mining Fork","631	","Utah","SNOTEL","Tooele","8295","40.49384","-112.61141","160203040503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"74","78","82","21","24","-4","25","19","6",,,,"19","18","7","31","2017","2019","25"
"Mission Creek","2F05P	","British Columbia","Cooperator Snow Sensors","	","5886","49.93333","-118.93333","170200060703	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"25","24","14","39","1997, 2014","2001, 2004","23"
"Molas Lake","632	","Colorado","SNOTEL","San Juan","10500","37.74932","-107.68866","140801040302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"68","71","71","22","23","-6","12","15","3",,,,"22","21","4","45","2017","2007","17"
"Monahan Flat","1094	","Alaska","SNOTEL","Matanuska-Susitna","2710","63.30533","-147.64633","190205010304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"18","18","7","30","2016","2015","14"
"Monitor Pass","633	","California","SNOTEL","Alpine","8306","38.6683","-119.6087","160502010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"171","160","100","42","43","9","85","4","18",,,,"14","15","1","31","2011","2015","21"
"Monte Cristo","634	","Utah","SNOTEL","Cache","8932","41.46547","-111.49688","160102030201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"57","57","85","20","21","-13","0","26","1","Lowest",,,"30","30","17","60","2021","1996","26"
"Monument Creek","949	","Alaska","SNOTEL","Fairbanks North Star","1850","65.07833","-145.87067","190803060402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"115","107","100","48","54","1","75","4","10",,,,"13","14","4","24","2016","2017","13"
"Monument Peak","635	","Montana","SNOTEL","Park","8850","45.21759","-110.237","100700020902	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"32","33","18","49","2011","2012","20"
"Moon Pass","1124	","Colorado","SNOTEL","Saguache","11140","37.96661","-106.55837","130100040201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"12","12","1","23","2017","2015","13"
"Moonshine","636	","Idaho","SNOTEL","Lemhi","7440","44.4147","-113.39812","170402170201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"75","82","100","22","23","-2","21","12","3",,,,"12","11","5","19","2009","2010","15"
"Moore Creek Bridge","1176	","Alaska","SNOTEL","Skagway","2250","59.58783","-135.2105","190103030203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"24","22","7","55","2017","2020","12"
"Moose Creek","638	","Idaho","SNOTEL","Lemhi","6200","45.67008","-113.95315","170602030601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"86","100","100","30","30","0","50","4","1","Lowest",,,"21","18","18","34","2018, 2020, 2021, more","2015","7"
"Moraine","1035	","Alaska","SNOTEL","Anchorage","2100","61.37727","-148.99917","190204010103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"10","10","0","27","2002, 2014","2011","18"
"Mores Creek Summit","637	","Idaho","SNOTEL","Boise","6100","43.932","-115.66588","170501110503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"31","28","12","69","2012","2001","23"
"Morgan Creek","639	","Idaho","SNOTEL","Lemhi","7600","44.84237","-114.26871","170602030901	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"108","117","100","35","35","2","67","4","6",,,,"13","12","8","23","2017, 2019","2015","10"
"Mormon Mountain","640	","Arizona","SNOTEL","Coconino","7500","34.94109","-111.51849","150200150201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"40","67","40","4","7","-1","42","12","9",,,,"5","3","0","19","2016, 2017, 2020, more","2009","20"
"Mormon Mtn Summit","1125	","Arizona","SNOTEL","Coconino","8500","34.96964","-111.50922","150200150202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"50","80","80","12","12","-1","31","10","4",,,,"8","5","0","23","2017, 2020","2009","14"
"Morse Lake","642	","Washington","SNOTEL","Yakima","5410","46.90585","-121.4827","170300020106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","55",,,"120","115","100","38","38","7","69","6","12",,,,"46","48","18","78","2014","2006","17"
"Mosby Mtn.","643	","Utah","SNOTEL","Uintah","9553","40.60798","-109.8881","140600100702	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"89","89","81","32","35","-2","44","11","8",,,,"19","19","7","40","2017","2004","19"
"Moscow Mountain","989	","Idaho","SNOTEL","Latah","4700","46.805","-116.8535","170603061002	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"100","106","100","29","29","1","62","9","13",,,,"19","18","4","59","2014","2001","22"
"Moses Mtn","644	","Washington","SNOTEL","Okanogan","5010","48.36163","-119.08159","170200061903	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"86","92","100","25","24","-1","39","12","8",,,,"14","13","3","31","2014","2012","19"
"Mosley Creek Upper","3A24P	","British Columbia","Cooperator Snow Sensors","	","5430","51.76667","-124.61667","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"17","15","7","32","2019","2017","12"
"Mosquito Ridge","645	","Idaho","SNOTEL","Shoshone","5260","48.05726","-116.23055","170103010101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"31","32","14","41","2014","2012","10"
"Moss Peak","646	","Montana","SNOTEL","Lake","6780","47.68493","-113.9623","170102080404	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","48",,,"112","114","96","40","41","6","68","7","14",,,,"43","42","25","75","2002","2010","20"
"Moss Springs","647	","Oregon","SNOTEL","Union","5760","45.27173","-117.68747","170601040702	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"25","24","13","40","2017","2001","23"
"Mount Cook","1E02P	","British Columbia","Cooperator Snow Sensors","	","5164","52.16667","-119.31667","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"65","61","39","109","2005","2011","20"
"Mount Crag","648	","Washington","SNOTEL","Jefferson","3960","47.7637","-123.026","171100180601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"26","23","0","61","2014","2006","19"
"Mount Gardner","898	","Washington","SNOTEL","King","2920","47.35768","-121.56812","171100120103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"109","100","92","21","21","0","60","7","8",,,,"11","12","0","26","2014","2006","16"
"Mount Lockhart","649	","Montana","SNOTEL","Teton","6400","47.91727","-112.8238","100302050102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","27",,,"123","112","90","39","39","3","80","5","17",,,,"22","24","12","31","2002","2009, 2019","21"
"Mount Mansfield","2041	","Vermont","SCAN","Chittenden","2236","44.53333","-72.83333","041504050201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-10","10","10","1","Lowest",,,"8","10","0","17","2015, 2021","2002","11"
"Mountain Meadows","650	","Idaho","SNOTEL","Idaho","6320","45.69694","-115.22972","170603020301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"25","26","15","35","2017","2005, 2015","21"
"Mowich","941	","Washington","SNOTEL","Pierce","3160","46.92833","-121.95232","171100140105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"167",,"71","25","26","5","78","6","17",,,,"3","0","0","14","2018, 2019, 2020, more","2008","24"
"Moyie Mountain","2C10P	","British Columbia","Cooperator Snow Sensors","	","6037","49.25","-115.76667","170101050304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"16","16","7","26","1997","1998","18"
"Mt Baldy","1224	","Utah","SNOTEL","Sanpete","9524","39.13648","-111.50527","160300040402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"100","100","88","31","34","0","56","5","5",,,,"22","22","7","32","2017","2019","10"
"Mt Hood Test Site","651	","Oregon","SNOTEL","Clackamas","5370","45.32097","-121.7158","170800010302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","38",,,"86","97","100","25","26","-1","46","15","11",,,,"44","39","6","122","2014","1996","27"
"Mt Pennell","1269	","Utah","SNOTEL","Garfield","9209","37.97793","-110.7933","140700010502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"100","140","88","23","22","2","67","3","5",,,,"7","5","0","18","2017","2019","7"
"Mt Rose Ski Area","652	","Nevada","SNOTEL","Washoe","8801","39.31573","-119.89473","160501020304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"35","37","9","61","2011","2001","23"
"Mt. Alyeska","1103	","Alaska","SNOTEL","Anchorage","1540","60.95983","-149.08617","190203020702	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","41",,,"137","152","84","47","53","14","79","4","12",,,,"30","27","4","64","2014","2008","15"
"Mt. Eyak","1073	","Alaska","SNOTEL","Valdez-Cordova","1405","60.55","-145.745","190202010200	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","43",,,"165","165","100","52","52","17","86","3","13",,,,"26","26","0","51","2019","2011","15"
"Mt. Howard","653	","Oregon","SNOTEL","Wallowa","7910","45.26522","-117.17373","170601050102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"112","120","100","31","32","3","58","9","12",,,,"16","15","6","28","2011, 2017","2012","20"
"Mt. Ryan","948	","Alaska","SNOTEL","Fairbanks North Star","2800","65.25113","-146.15133","190803060404	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"88","88","100","40","44","-2","30","8","3",,,,"16","16","4","21","2016","2017, 2019","11"
"Mt. Tebo","1126	","Washington","SNOTEL","Mason","3384","47.46061","-123.41219","171100170101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"131","131","100","24","24","5","100","1","2","2nd Lowest",,,"16","16","10","21","2020","2021","2"
"Muckamuck","1259	","Washington","SNOTEL","Okanogan","4470","48.58526","-119.86624","170200062001	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"156","156","100","41","39","5","86","2","7","2nd Highest",,,"9","9","0","18","2019","2015","8"
"Mud Flat","654	","Idaho","SNOTEL","Owyhee","5730","42.6004","-116.55925","170501041401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-5","11","18","1","Lowest",,,"5","5","0","12","2014, 2017, 2021","2010","20"
"Mud Ridge","655	","Oregon","SNOTEL","Clackamas","4070","45.25362","-121.73673","170800010302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"104","100","100","30","30","0","52","12","13",,,,"23","24","4","53","2014","2001","24"
"Mule Creek","656	","Montana","SNOTEL","Beaverhead","8300","45.40957","-112.95927","100200041303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"74","71","100","28","29","-7","15","18","4",,,,"23","24","10","32","2011","2012","21"
"Munson Ridge","950	","Alaska","SNOTEL","Fairbanks North Star","3100","64.85033","-146.20945","190803060602	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"118","118","93","53","57","4","78","3","7",,,,"22","22","10","33","2016","2017","10"
"Myrtle Creek","1053	","Idaho","SNOTEL","Boundary","3520","48.72263","-116.46312","170101040701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"6","6","0","16","2014","2003","18"
"N Fk Elk Creek","657	","Montana","SNOTEL","Powell","6250","46.8716","-113.27725","170102031204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"71","71","100","21","23","-4","27","17","5",,,,"14","14","8","21","2002","2005","23"
"Nast Lake","658	","Colorado","SNOTEL","Pitkin","8700","39.29722","-106.60694","140100040504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"14","13","3","21","2012","2019","18"
"Navajo Whiskey Ck","1138	","New Mexico","SNOTEL","San Juan","9050","36.17728","-108.94691","140802040206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"100","100","88","24","24","0","50","7","7",,,,"7","7","0","17","2010, 2012, 2017","2019","13"
"Nenana","2081	","Alaska","SNOTEL","Yukon-Koyukuk","415","64.68582","-148.9113","190803090803	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"90","90","90","41","41","-1","44","6","3",,,,"10","10","5","18","2016","2012","10"
