"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Laprele Creek","571	","Wyoming","SNOTEL","Converse","8375","42.43583","-105.86083","101800071201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"9","9","8","2","2","-10","5","20","1","Lowest",,,"11","11","1","25","2012, 2021","2018","21"
"Larsen Creek","1134	","Wyoming","SNOTEL","Sublette","9000","42.5801","-109.0883","101800060101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"8","8","2","15","2019","2010","11"
"Lasal Mountain","572	","Utah","SNOTEL","San Juan","9578","38.48226","-109.27198","140300050404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","4","25","1","Lowest",,,"10","10","0","31","2017, 2021","2001","26"
"Lasal Mountain-Lower","1215	","Utah","SNOTEL","San Juan","8783","38.48167","-109.29164","140300050404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","33","7","1","Lowest",,,"7","6","0","15","2017, 2020, 2021, more","2015","10"
"Laurel Draw","573	","Nevada","SNOTEL","Elko","6682","41.77637","-116.02957","170501040202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","6","0","16","2007","2018","18"
"Leavitt Lake","574	","California","SNOTEL","Mono","9604","38.27594","-119.61281","160503020104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","22",,,"61","65","71","13","14","-12","29","16","7",,,,"36","34","2","90","2007","2001","22"
"Leavitt Meadows","575	","California","SNOTEL","Mono","7198","38.30367","-119.55111","160503020104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","36","15","1","Lowest",,,"5","2","0","20","2017, 2020, 2021, more","2001","23"
"Lee Canyon","1112	","Nevada","SNOTEL","Clark","8626","36.30537","-115.67508","150100150206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","31","10","1","Lowest",,,"6","3","0","19","2017, 2020, 2021, more","2011","14"
"Lemhi Ridge","576	","Montana","SNOTEL","Beaverhead","8100","44.9938","-113.44399","100200011106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","8","10","2","2","-11","0","21","1","Lowest",,,"14","12","1","27","2021","2005","21"
"Lewis Lake Divide","577	","Wyoming","SNOTEL","Teton","7850","44.20862","-110.66628","170401010104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"43","48","68","13","14","-14","0","18","1","Lowest",,,"30","27","13","54","2021","2012","18"
"Lewis Peak","1006	","Nevada","SNOTEL","Lander","7370","40.3572","-116.8647","160401070903	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","25","16","1","Lowest",,,"7","6","0","19","2009, 2012, 2021, more","2001","21"
"Lick Creek","578	","Montana","SNOTEL","Gallatin","6860","45.5041","-110.96625","100200081001	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"54","58","70","15","15","-5","11","18","3",,,,"13","12","4","25","2020","2005","20"
"Lightning Ridge","1056	","Utah","SNOTEL","Weber","8215","41.35891","-111.48749","160201020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","6","17","2","2","-15","0","18","1","Lowest",,,"15","16","1","28","2021","2005","18"
"Lily Lake","579	","Utah","SNOTEL","Summit","9133","40.86493","-110.79813","160101010103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"13","14","25","4","4","-12","0","22","1","Lowest",,,"15","14","2","28","2021","2005","22"
"Lily Pond","580	","Colorado","SNOTEL","Conejos","11000","37.37929","-106.54835","130100020302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","0","20","1","Lowest",,,"12","12","0","25","2021","2013","20"
"Little Bear","582	","Utah","SNOTEL","Cache","6548","41.40562","-111.82607","160102030103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","18","1","Lowest",,,"8","8","0","16","2021","2011, 2018","18"
"Little Chena Ridge","947	","Alaska","SNOTEL","Fairbanks North Star","2000","65.12422","-146.7339","190803060706	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"100","100","100","38","38","0","50","6","5",,,,"11","11","2","21","2018","2017","11"
"Little Goose","1131	","Wyoming","SNOTEL","Johnson","8870","44.54315","-107.17865","100901010105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"79","92","79","21","23","-1","36","8","4",,,,"14","12","7","25","2015","2011","12"
"Little Grassy","583	","Utah","SNOTEL","Washington","6065","37.48631","-113.84582","160300061302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","69","6","1","Lowest",,,"1","0","0","5","2017, 2020, 2021, more","2013","17"
"Little Meadows","584	","Oregon","SNOTEL","Linn","4020","44.61297","-122.22565","170900060301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"15","10","0","43","2008, 2014","2005, 2006","18"
"Little Snake River","1047	","Wyoming","SNOTEL","Carbon","8915","41.07053","-106.94283","140500030103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"15","27","75","6","7","-16","0","17","1","Lowest",,,"41","22","6","185","2021","2004","17"
"Little Valley","1242	","Nevada","SNOTEL","Washoe","6493","39.25259","-119.8771","160501020301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","0","9","1","Lowest",,,"4","4","0","10","2021","2019","9"
"Little Warm","585	","Wyoming","SNOTEL","Fremont","9370","43.50278","-109.752","100800010212	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"71","75","75","25","29","-4","17","16","4",,,,"17","16","10","31","2009","2017","19"
"Lizard Head Pass","586	","Colorado","SNOTEL","Dolores","10200","37.79926","-107.92426","140300020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-14","0","19","1","Lowest",,,"15","14","0","27","2021","2013","19"
"Lobdell Lake","587	","California","SNOTEL","Mono","9249","38.43745","-119.36572","160503020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-7","18","15","1","Lowest",,,"10","7","0","27","2007, 2008, 2021, more","2005","18"
"Lolo Pass","588	","Idaho","SNOTEL","Idaho","5240","46.63448","-114.58072","170102051401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"21","20","5","38","2008","2005","22"
"Lone Cone","589	","Colorado","SNOTEL","San Miguel","9600","37.89183","-108.19544","140300030302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"15","14","1","30","2017","2013","18"
"Lone Mountain","590	","Montana","SNOTEL","Madison","8880","45.27412","-111.42692","100200080201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"55","55","85","16","17","-9","5","19","1","Lowest",,,"20","20","11","34","2002, 2021","2005","20"
"Lone Pine","591	","Washington","SNOTEL","Skamania","3930","46.27143","-121.96288","170800020203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-23","13","14","1","Lowest",,,"21","23","0","52","2008, 2019, 2021","2006","16"
"Lonesome Beaver","1261	","Utah","SNOTEL","Garfield","9410","38.07","-110.77241","140700010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","29","6","1","Lowest",,,"3","2","0","9","2017, 2020, 2021","2019","8"
"Long Draw Resv","1123	","Colorado","SNOTEL","Larimer","9980","40.5123","-105.7656","101900070203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","14",,,"67","74","93","21","21","-5","8","12","2","2nd Lowest",,,"21","19","8","30","2012","2013, 2018","13"
"Long Flat","592	","Utah","SNOTEL","Washington","7982","37.51255","-113.39661","160300061403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","44","10","1","Lowest",,,"5","2","0","16","2017, 2020, 2021, more","2019","17"
"Long Lake","1001	","Alaska","SNOTEL","Juneau","850","58.186","-133.83217","190102060505	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"29","24","0","111","2018","2001","17"
"Long Valley","1016	","Idaho","SNOTEL","Valley","4890","44.78835","-116.08878","170501230206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","25","16","1","Lowest",,,"4","3","0","23","2012, 2014, 2021, more","2001","21"
"Long Valley Jct","593	","Utah","SNOTEL","Kane","7465","37.48756","-112.51458","150100080201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","41","11","1","Lowest",,,"4","2","0","14","2017, 2020, 2021, more","2019","18"
"Look Eyrie","768	","Alaska","SNOLITE","Southeast Fairbanks","5040","63.32192","-145.59655","190803040504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","52",,,"68","100","96","39","39","0","50","2","2",,,,"76","52","47","130","2020","2019","3"
"Lookout","594	","Idaho","SNOTEL","Shoshone","5190","47.45749","-115.70457","170103020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"28","25","62","6","6","-15","16","17","2","2nd Lowest",,,"18","20","4","38","2019","2006","20"
"Lookout Butte","1298	","Oregon","SNOLITE","Malheur","5730","42.13397","-117.17992","170501060502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2020, 2021","2020, 2021","2"
"Lookout Mountain","595	","New Mexico","SNOTEL","Sierra","8500","33.36027","-107.83122","150400010402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"1","0","0","6","2017, 2018, 2020, more","2011","20"
"Lookout Peak","596	","Utah","SNOTEL","Salt Lake","8161","40.83731","-111.70965","160202040302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"15","15","27","3","3","-17","0","18","1","Lowest",,,"20","20","3","38","2021","2005","18"
"Loomis Park","597	","Wyoming","SNOTEL","Sublette","8240","43.17387","-110.14007","140401010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"12","12","50","3","4","-15","0","8","1","Lowest",,,"16","17","2","29","2021","2014","8"
"Lost Creek Resv","1118	","Utah","SNOTEL","Morgan","6082","41.22155","-111.35947","160201010603	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","18","10","1","Lowest",,,"4","4","0","13","2012, 2020, 2021","2018","12"
"Lost Dog","940	","Colorado","SNOTEL","Routt","9320","40.81588","-106.74835","140500010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"50","45","83","10","12","-12","4","23","2","2nd Lowest",,,"20","22","6","35","2012","2005","24"
"Lost Horse","599	","Washington","SNOTEL","Yakima","5120","46.3575","-121.08095","170300030302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","8","12","2","2","-12","14","19","3",,,,"12","13","0","47","2002, 2008","2001","22"
"Lost Lake","600	","Idaho","SNOTEL","Shoshone","6110","47.0809","-115.9604","170603080101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"45","43","94","10","10","-20","8","12","1","Lowest",,,"33","35","15","49","2019, 2021","2013","13"
"Lost-Wood Divide","601	","Idaho","SNOTEL","Blaine","7900","43.82432","-114.26402","170402190304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"50","56","90","13","13","-7","15","12","3",,,,"18","16","7","48","2008","2012","14"
"Louis Meadow","972	","Utah","SNOTEL","Salt Lake","6700","40.83033","-111.76457","160202040304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-13","0","22","1","Lowest",,,"13","13","0","43","2021","2001","22"
"Louse Canyon","1296	","Oregon","SNOLITE","	","6520","42.07059","-117.5483","160402010304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","0","2","1","Lowest",,,"2","2","0","3","2021","2020","2"
"Loveland Basin","602	","Colorado","SNOTEL","Clear Creek","11400","39.67433","-105.90133","101900040102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","19",,,"51","76","86","24","25","-6","12","15","3",,,,"37","25","12","200","2012","2007","17"
"Lovell Summit","2146	","Nevada","SCAN","Clark","6582","36.16555","-115.61195","160600150401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-1","38","9","1","Lowest",,,"1","1","0","6","2014, 2017, 2021, more","2019","14"
"Lower Kachemak Creek","1265	","Alaska","SNOTEL","Kenai Peninsula","1915","59.73507","-150.69327","190203011101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","25",,,"147","250","100","54","50","15","83","2","6","2nd Highest",,,"17","10","4","42","2018","2020","7"
"Lower Twin","603	","Montana","SNOTEL","Madison","7900","45.50871","-111.92288","100200071101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"40","44","35","12","11","-10","5","19","1","Lowest",,,"20","18","8","39","2016, 2021","2013","20"
"Lu Lake","4B15P	","British Columbia","Cooperator Snow Sensors","	","4291","54.18333","-126.3","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"12","9","3","33","2003","2006","21"
"Lubrecht Flume","604	","Montana","SNOTEL","Missoula","4680","46.88293","-113.32228","170102031204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"25","33","50","4","4","-2","16","17","4",,,,"4","3","0","12","2008, 2012, 2013","2005","20"
"Lucky Strike","605	","Oregon","SNOTEL","Umatilla","4970","45.27478","-118.8479","170701030606	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","18","15","1","Lowest",,,"5","4","0","20","2012, 2014, 2021, more","2010","18"
"Lye Brook","2042	","Vermont","SCAN","Bennington","2435","43.05","-73.03333","020200030202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"150","300","60","20","18","4","79","4","12",,,,"4","2","0","15","2011, 2012, 2015, more","2002, 2019","15"
"Lyman Lake","606	","Washington","SNOTEL","Chelan","5980","48.19798","-120.91678","170200090203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"54","54","19","90","2008, 2019","2016","16"
"Lynn Lake","1069	","Washington","SNOTEL","King","3900","47.20172","-121.77972","171100130203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"44","100","57","5","5","0","50","8","6",,,,"9","4","0","28","2008","2011","15"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8880","40.07806","-106.67028","140100011001	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"13","12","5","20","2012","2013","14"
"MF Nooksack","1011	","Washington","SNOTEL","Whatcom","4970","48.82453","-121.92951","171100040303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"28","25","50","6","6","-24","21","16","4",,,,"29","32","0","59","2002","2003","20"
"Madison Butte","608	","Oregon","SNOTEL","Morrow","5150","45.10513","-119.49585","170702041101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-2","37","13","1","Lowest",,,"3","2","0","14","2014, 2017, 2021, more","2010","20"
"Madison Plateau","609	","Montana","SNOTEL","Gallatin","7750","44.58623","-111.11627","100200070204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"42","45","83","12","12","-12","0","20","1","Lowest",,,"24","22","10","39","2021","2005","20"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6880","42.18072","-114.28662","170402120601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"23","25","43","5","5","-9","9","21","2","2nd Lowest",,,"13","12","2","36","2008","2001","23"
"Mahantango Ck","2028	","Pennsylvania","SCAN","Northumberland","730","40.66667","-76.66667","020503010801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","1","2018, 2019, 2020, more","1999, 2005","13"
"Mammoth-Cottonwood","612	","Utah","SNOTEL","Sanpete","8709","39.68338","-111.31818","160300040203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","14","25","3","4","-12","8","24","3",,,,"14","14","0","33","2008, 2017","1996","26"
"Mancos","905	","Colorado","SNOTEL","Montezuma","10000","37.43087","-108.16954","140801070102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"20","20","25","3","3","-8","17","16","4",,,,"10","10","0","20","2012, 2017, 2020","2011, 2015","19"
"Many Glacier","613	","Montana","SNOTEL","Glacier","4900","48.79698","-113.6705","090400010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"33","38","75","6","6","-5","5","19","2","2nd Lowest",,,"9","8","2","19","2002","2010","20"
"Marion Forks","614	","Oregon","SNOTEL","Linn","2590","44.59397","-121.97365","170900050205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","50","9","1","Lowest",,,"3","0","0","24","2018, 2019, 2021, more","2005","17"
"Marlette Lake","615	","Nevada","SNOTEL","Carson City","7884","39.16395","-119.89672","160501010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"46","46","24","8","9","-7","21","20","5",,,,"13","13","0","30","2007, 2008","2001","25"
"Marquette","616	","Wyoming","SNOTEL","Park","8760","44.3016","-109.24019","100800130303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"9","11","20","3","3","-8","6","18","1","Lowest",,,"11","9","1","21","2006, 2021","2013, 2016","19"
"Marten Ridge","999	","Washington","SNOTEL","Whatcom","3520","48.76292","-121.69823","171100051004	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"54","47","68","11","10","-17","27","12","5",,,,"28","32","0","71","2008, 2018, 2019","2006","16"
"Mascoma River","2043	","New Hampshire","SCAN","Grafton","1400","43.78333","-72.03333","010801060101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"150","300","60","12","12","2","88","3","14",,,,"2","1","0","6","2012, 2013, 2015, more","2002","18"
"Maverick Fork","617	","Arizona","SNOTEL","Apache","9200","33.92121","-109.45881","150601010104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"25","25","100","2","3","-3","37","13","6",,,,"4","4","0","15","2012, 2014, 2017, more","2019","20"
"May Creek","1096	","Alaska","SNOTEL","Valdez-Cordova","1610","61.34783","-142.70967","190201031603	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"80","89","100","31","32","-1","36","10","3",,,,"10","9","5","15","2018","2008","15"
"Mc Clure Pass","618	","Colorado","SNOTEL","Pitkin","9500","39.12897","-107.28806","140200040203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","8","14","1","2","-12","6","18","2","2nd Lowest",,,"13","13","0","32","2017","2013","19"
"McBride Upper","1A02P	","British Columbia","Cooperator Snow Sensors","	","5276","53.3","-120.31667","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"28","29","0","46","2006, 2007","2009","14"
"McGrath","785	","Alaska","SNOTEL","Yukon-Koyukuk","340","62.94652","-155.6102","190304050502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"72","87","100","25","25","-2","0","3","1","Lowest",,,"18","15","13","26","2021","2019","3"
"Mccoy Park","1040	","Colorado","SNOTEL","Eagle","9480","39.60468","-106.54128","140100030302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"4","7","25","1","2","-14","0","19","1","Lowest",,,"23","15","1","160","2021","2007","19"
"Mckenzie","619	","Oregon","SNOTEL","Lane","4770","44.2103","-121.87292","170900040207	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"23","18","4","56","2008","2005","18"
"Mcknight Cabin","1048	","New Mexico","SNOTEL","Grant","9240","33.00812","-107.86975","130302020103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"67","200","67","11","14","1","61","8","12",,,,"3","1","0","12","2015, 2017, 2020, more","2004","19"
"Mcneil Canyon","1003	","Alaska","SNOTEL","Kenai Peninsula","1320","59.74433","-151.25133","190203010806	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"138","157","79","28","28","4","74","6","15",,,,"8","7","1","23","2002","2009","20"
"Mcneil River SGS","1191	","Alaska","SNOTEL","Kenai Peninsula","140","59.08332","-154.27543","190206021207	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","25",,,"278","417","74","46","52","19","89","2","9","2nd Highest",,,"9","6","0","29","2015","2020","10"
"Meadow Lake","620	","Idaho","SNOTEL","Lemhi","9150","44.43655","-113.31815","170602040101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"64","75","50","14","14","-3","0","6","1","Lowest",,,"14","12","9","24","2021","2017","6"
"Meadows Pass","897	","Washington","SNOTEL","King","3230","47.28312","-121.47197","171100120101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"31","33","62","6","6","-10","22","15","4",,,,"16","15","0","39","2008, 2019","2006","19"
"Med Bow","1196	","Wyoming","SNOTEL","Carbon","10500","41.37833","-106.34681","101800040302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","25",,,"66","68","86","22","22","-12","11","9","2","2nd Lowest",,,"38","37","24","61","2012","2018","10"
"Medano Pass","914	","Colorado","SNOTEL","Saguache","9649","37.85164","-105.43614","130100030604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-5","17","16","1","Lowest",,,"6","5","0","26","2012, 2017, 2021, more","2011","19"
"Merchant Valley","621	","Utah","SNOTEL","Beaver","8705","38.30285","-112.43637","160300070201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"25","30","75","6","6","-7","6","18","2","2nd Lowest",,,"12","10","0","26","2017","2019","19"
"Merritt Mountain","1207	","Nevada","SNOTEL","Elko","6915","41.8927","-115.858","170501020601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","22","8","1","Lowest",,,"4","2","0","14","2012, 2014, 2021","2018","10"
"Mesa Lakes","622	","Colorado","SNOTEL","Mesa","10000","39.05831","-108.05835","140100051307	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"50","47","78","12","12","-8","12","15","2","2nd Lowest",,,"14","15","1","28","2017","2013","17"
"Mica Creek","623	","Idaho","SNOTEL","Shoshone","4510","47.15045","-116.26643","170103040604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"50","50","50","10","9","-7","16","17","4",,,,"14","14","0","34","2019","2006","20"
"Michigan Creek","937	","Colorado","SNOTEL","Park","10600","39.43577","-105.91078","101900010404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"13","14","2","24","2012","2013","19"
"Midas","1206	","Nevada","SNOTEL","Elko","6630","41.26873","-116.80332","160401060402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"33","50","20","6","6","-1","44","6","4",,,,"3","2","0","9","2012, 2014, 2020","2019","10"
"Middle Creek","624	","Colorado","SNOTEL","Mineral","11250","37.61978","-107.03482","130100010501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"17","25","62","5","8","-15","6","18","2","2nd Lowest",,,"30","20","2","232","2017","2004","19"
"Middle Fork Bradley","1064	","Alaska","SNOTEL","Kenai Peninsula","2300","59.77683","-150.75733","190203011102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","30",,,"167","188","79","46","45","14","87","3","14",,,,"18","16","2","36","2013","2007","16"
"Middle Fork Camp","1014	","Colorado","SNOTEL","Grand","8940","39.7956","-106.0273","140100010402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"31","31","100","7","9","-9","5","19","1","Lowest",,,"13","13","4","22","2012, 2021","2005","20"
"Middle Powder","625	","Wyoming","SNOTEL","Washakie","7760","43.62728","-107.18138","100800080205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"38","36","83","10","10","-9","6","17","2","2nd Lowest",,,"13","14","2","23","2020","2005","18"
"Midway Valley","626	","Utah","SNOTEL","Iron","9827","37.56933","-112.83849","160300010101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-16","0","24","1","Lowest",,,"20","16","0","61","2021","2004","24"
"Milk Shakes","1079	","Oregon","SNOTEL","Wallowa","5580","45.9821","-117.94883","170701020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"24","24","45","4","4","-16","7","14","2","2nd Lowest",,,"21","21","1","40","2008","2010","15"
"Mill Creek Summit","627	","Idaho","SNOTEL","Custer","8800","44.47212","-114.48992","170602010501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"68","79","65","21","21","-4","22","8","3",,,,"22","19","9","39","2019","2017","10"
"Mill-D North","628	","Utah","SNOTEL","Salt Lake","8963","40.65883","-111.63683","160202040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-15","0","18","1","Lowest",,,"15","15","0","33","2021","2004","18"
"Miller Woods","1084	","Oregon","SNOTEL","Yamhill","420","45.24755","-123.27563","170900080606	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","1","2018, 2019, 2020, more","2016","15"
"Mineral Creek","629	","Colorado","SNOTEL","San Juan","10040","37.84747","-107.72657","140801040103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"13","19","33","4","5","-13","0","18","1","Lowest",,,"23","16","3","174","2021","2004","18"
"Mining Fork","631	","Utah","SNOTEL","Tooele","8295","40.49384","-112.61141","160203040503	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"43","40","55","9","10","-9","4","24","2","2nd Lowest",,,"14","15","4","30","2007","2001","25"
"Mission Creek","2F05P	","British Columbia","Cooperator Snow Sensors","	","5886","49.93333","-118.93333","170200060703	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"21","20","11","41","1997, 2008","2004","23"
"Molas Lake","632	","Colorado","SNOTEL","San Juan","10500","37.74932","-107.68866","140801040302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","6","20","1","2","-15","0","17","1","Lowest",,,"16","16","1","36","2021","2013","17"
"Monahan Flat","1094	","Alaska","SNOTEL","Matanuska-Susitna","2710","63.30533","-147.64633","190205010304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"17","17","2","32","2012","2019","14"
